Artist: Darryl Glover
	Album: Universal asymmetric leverage
		Song: Idea left science prepare billion
		Genres: pop
		Duration: 255
		Reproductions: 1976817562
		Discography: universal_asymmetric_leverage
		Authors: Darryl Glover,Cindy Khan
		Song: Miss establish nation no result among research although
		Genres: country,metal,hiphop
		Duration: 307
		Reproductions: 356340960
		Discography: universal_asymmetric_leverage
		Authors: Darryl Glover,Anthony Castillo,Randall Craig
		Song: Million know paper admit about most consider
		Genres: jazz,metal,hiphop
		Duration: 196
		Reproductions: 566253496
		Discography: universal_asymmetric_leverage
		Authors: Darryl Glover,Wendy Baker
		Song: Country view movie order remember
		Genres: pop,folk,metal
		Duration: 325
		Reproductions: 126366015
		Discography: universal_asymmetric_leverage
		Authors: Stacy Reyes,Darryl Glover,Amanda Mcdonald
		Song: Per democratic civil soldier interesting red memory
		Genres: folk
		Duration: 342
		Reproductions: 350115885
		Discography: universal_asymmetric_leverage
		Authors: Darryl Glover
	Album: Automated human-resource concept
		Song: Cover reach product head not dog alone
		Genres: electronic,rock
		Duration: 317
		Reproductions: 3668247285
		Discography: automated_human-resource_concept
		Authors: Darryl Glover,Melissa Watson
		Song: Reality very happen
		Genres: reggae,blues
		Duration: 241
		Reproductions: 2634523188
		Discography: automated_human-resource_concept
		Authors: Darryl Glover
		Song: Everything professional side really future
		Genres: reggae
		Duration: 163
		Reproductions: 2198207496
		Discography: automated_human-resource_concept
		Authors: Darryl Glover,Mary Rice
		Song: Factor else by teacher century window
		Genres: electronic,metal
		Duration: 194
		Reproductions: 1059151079
		Discography: automated_human-resource_concept
		Authors: Gabrielle Phillips,Darryl Glover
		Song: Language suffer white something
		Genres: country
		Duration: 316
		Reproductions: 2423076141
		Discography: automated_human-resource_concept
		Authors: Hannah Allen,Darryl Glover,Robert Norton
	Album: Business-focused tertiary ability
		Song: Understand skin investment fill federal trouble population
		Genres: blues,indie,jazz
		Duration: 191
		Reproductions: 136556349
		Discography: business-focused_tertiary_ability
		Authors: Michael Rodriguez,Darryl Glover,Pamela Smith
		Song: Firm past who note property must beautiful
		Genres: folk
		Duration: 157
		Reproductions: 4291544344
		Discography: business-focused_tertiary_ability
		Authors: Darryl Glover
		Song: Most Mr what fine interesting water sport single
		Genres: folk
		Duration: 350
		Reproductions: 1305988189
		Discography: business-focused_tertiary_ability
		Authors: Darryl Glover
		Song: First suffer decision common hotel
		Genres: metal
		Duration: 293
		Reproductions: 3544557542
